Week,1st,2nd,3rd,4th,5th,6th,7th,8th,9th,10th,11th,12th,DC3A,DC3B,DC3B-SEC
14,Files,Saving work,File types,File organization,Folders,Structures,Data organization,File systems,Storage systems,Data lifecycle,Data governance,Data architecture,Sistemas de archivos,Gobernanza de datos,Sistemas de almacenamiento
15,Names,Naming files,Good names,Naming rules,Standards,Conventions,System naming,Metadata,Data labeling,Data quality,Governance,Information systems,Metadatos,Gobernanza,Etiquetado de datos
16,Sharing,Helping others,Sharing work,Collaboration,Group work,Collaboration rules,Workflow,Collaboration systems,Tools comparison,Productivity tools,Team systems,Organizational systems,Sistemas de colaboración,Sistemas de equipos,Comparación de herramientas
17,Time use,Task order,Priorities,Planning,Schedules,Productivity,Workflows,Process design,Time optimization,Systems efficiency,Ops thinking,Lean thinking,Diseño de procesos,Pensamiento operativo,Optimización del tiempo
18,Problem solving,Simple problems,Steps to solve,Trial & error,Strategies,Systematic solving,Debugging methods,Root cause,Problem models,Decision making,Analytical thinking,Strategic thinking,Causa raíz,Pensamiento analítico,Modelos de problemas
19,Instructions game,Follow rules,Create rules,Improve rules,Optimize steps,Efficiency,Compare solutions,Evaluate methods,Tradeoffs,Decision models,Cost-benefit,Systems decisions,Evaluar métodos,Costo-beneficio,Compromisos
20,Draw your own machine,Invent a helpful tool,Design a simple device,Create a step-by-step solution,Solve a real-life problem with steps,Design a simple system,Create a flowchart for a task,Analyze a process and improve it,Design an efficient solution,Evaluate solution tradeoffs,Optimize a real-world process,Systems improvement proposal,Analizar un proceso y mejorarlo,Optimizar un proceso del mundo real,Diseñar una solución eficiente
21,Internet idea,What is internet,Uses,Services,Communication,Networks,Network types,Internet structure,Protocols (idea),Network models,Distributed systems,Internet architecture,Estructura de internet,Sistemas distribuidos,Idea de protocolos
22,Messages,Digital messages,Email idea,Communication,Messaging systems,Protocol idea,Communication models,Data transfer,Packet idea,Network reliability,Scaling networks,Global systems,Transferencia de datos,Escalado de redes,Idea de paquetes
23,Pictures,Images,Digital images,Pixels,Resolution,Compression,Image data,Media formats,Media systems,Optimization,Media pipelines,Digital media systems,Formatos multimedia,Pipelines multimedia,Sistemas multimedia
24,Sound,Audio,Digital sound,Signals,Sampling,Encoding,Audio systems,Formats,Streaming,Media systems,Compression tradeoffs,Signal processing,Formatos,Compromisos de compresión,Transmisión en continuo
25,Video,Moving images,Frames,Video idea,Video systems,Compression,Media pipelines,Formats,Streaming systems,Optimization,Media infra,Media architecture,Formatos,Infraestructura de medios,Sistemas de transmisión en continuo
26,Games,Rules games,Game logic,Game design,Mechanics,Systems,Game loops,Design thinking,Game systems,Balance,Monetization,Game economics,Pensamiento de diseño,Monetización,Sistemas de juegos
27,Robots idea,Machines,Automation,Control,Sensors,Systems,Robotics basics,Automation systems,Robotics impact,Industry,AI robotics,Future robotics,Sistemas de automatización,Robótica e IA,Impacto de la robótica
28,AI idea,Smart machines,AI examples,Decisions,Patterns,Learning,ML concept,AI systems,AI impact,AI business,AI ethics,AI future,Sistemas de inteligencia artificial,Negocios de IA,Impacto de la inteligencia artificial
29,Safety,Safe internet,Passwords,Protection,Security basics,Threats,Cyber basics,Security layers,Security systems,Risk,Security models,Cyber strategy,Capas de seguridad,Riesgo,Sistemas de seguridad
30,Safe vs unsafe situations,Spot safe choices,Identify risky actions,What would you do? scenarios,Protect your information,Identify digital risks,Analyze security situations,Evaluate protection methods,Risk vs benefit decisions,Security case analysis,Design a protection strategy,Security strategy evaluation,Evaluar métodos de protección,Diseñar una estrategia de protección,Decisiones riesgo vs beneficio
31,Creativity,Draw ideas,Design ideas,Solve creatively,Innovation,Design thinking,Creative systems,Product ideas,Innovation systems,Business ideas,Startups,Venture thinking,Ideas de producto,Startups,Sistemas de innovación
32,Jobs,Tech jobs,Roles,Skills,Careers,Tech careers,Career paths,Industry overview,Tech economy,Digital jobs,Future jobs,Workforce evolution,Panorama de la industria,Empleos del futuro,Economía tecnológica
33,Money,Buying,Digital buying,Payments,Systems,Transactions,Payment systems,Fintech,Digital economy,Business models,SaaS,Platform economy,Tecnología financiera,SaaS,Economía digital
34,School tech,Learning tools,Digital learning,Systems,LMS idea,EdTech,Learning systems,Platforms,Education tech,Product design,EdTech business,Future education,Plataformas,Negocio EdTech,Tecnología educativa
35,Communication,Talking,Digital talk,Systems,Channels,Models,Communication systems,Information flow,Systems thinking,Organizational comms,Leadership comms,Strategic comms,Flujo de información,Comunicación de liderazgo,Pensamiento sistémico
36,Teamwork,Working together,Roles,Collaboration,Teams,Systems,Team workflows,Collaboration tools,Org systems,Productivity teams,Leadership,Org design,Herramientas de colaboración,Liderazgo,Sistemas organizacionales
37,Creativity project,Small project,Guided project,Problem project,Design project,Logic project,System project,Analysis project,Business idea,Product idea,Startup idea,Venture plan,Proyecto de análisis,Idea de startup,Idea de negocio
38,My favorite technology,How I use technology,Technology in my day,Benefits of technology,Problems technology solves,Technology pros and cons,Technology in my future,Impact of technology,Technology in society,Technology and business,Technology and ethics,Technology and humanity,Impacto de la tecnología,Tecnología y ética,Tecnología en la sociedad
39,Challenge,Fun challenge,Logic challenge,Problem challenge,System challenge,Strategy challenge,Complex challenge,Case study,Business case,System case,Strategy case,Capstone case,Estudio de caso,Caso estratégico,Caso de negocio
40,Fun thinking challenge,Puzzle challenge,Logic puzzle,Step challenge,Problem-solving challenge,Multi-step challenge,System challenge,Analysis challenge,Real-world scenario,Business scenario,Strategy scenario,Capstone scenario,Desafío de análisis,Escenario estratégico,Escenario del mundo real
